[2024.09.07-09.22.01:290][ 12]Log file open, 09/07/24 11:22:01
[2024.09.07-09.22.01:291][ 12]Failed Spawned Dino: Piranha | 0.9x (Location -37751.857121, -55642.310459, -14331.267001)
[2024.09.07-09.22.28:791][ 12]Failed Spawned Dino: Megalodon - Lvl 65 (Location -275747.011713, 71704.527654, -53522.814344)
[2024.09.07-09.22.43:545][ 12]Failed Spawned Dino: Piranha | 0.8x (Location -136323.216293, -52086.844471, -14376.759628)
[2024.09.07-09.22.43:562][ 12]Failed Spawned Dino: Piranha | 1.1x (Location -148234.268439, -36325.690096, -14415.733749)
[2024.09.07-09.23.01:159][ 12]Failed Spawned Dino: Piranha | 0.9x (Location -38488.010219, 71526.815954, -14413.643107)
[2024.09.07-09.23.01:365][ 12]Failed Spawned Dino: Coelacanth | 1.5x (Location -153186.081969, 42445.688887, -53384.333901)
[2024.09.07-09.23.01:369][ 12]Failed Spawned Dino: Coelacanth | 0.9x (Location -153471.566770, 42237.126118, -53390.954687)
[2024.09.07-09.23.01:433][ 12]Failed Spawned Dino: Xiphactinus - Lvl 20 (Location -141647.660434, 47338.815239, -53464.702226)
[2024.09.07-09.23.01:498][ 12]Failed Spawned Dino: Coelacanth | 0.5x (Location -155456.470951, 20189.821084, -53473.920714)
[2024.09.07-09.23.01:502][ 12]Failed Spawned Dino: Coelacanth | 1.3x (Location -155209.782389, 20230.376642, -53429.969633)
[2024.09.07-09.23.01:512][ 12]Failed Spawned Dino: Coelacanth | 1.2x (Location -155415.915392, 19943.132522, -53491.413970)
[2024.09.07-09.23.01:526][ 12]Failed Spawned Dino: Ichthyosaurus - Lvl 95 (Location -160314.390089, 28220.395945, -53797.932096)
[2024.09.07-09.23.01:537][ 12]Failed Spawned Dino: Ichthyosaurus - Lvl 100 (Location -160166.676959, 28018.701049, -53777.215696)
[2024.09.07-09.23.01:566][ 12]Failed Spawned Dino: Manta - Lvl 35 (Location -164736.454862, 23990.938457, -53484.142726)
[2024.09.07-09.23.01:631][ 12]Failed Spawned Dino: Coelacanth | 1.2x (Location -156801.550837, 22170.530942, -53496.849467)
[2024.09.07-09.23.01:634][ 12]Failed Spawned Dino: Coelacanth | 1.4x (Location -156551.789203, 22159.616453, -53457.827203)
[2024.09.07-09.23.01:646][ 12]Failed Spawned Dino: Coelacanth | 1.4x (Location -156790.636349, 22420.292576, -53470.735855)
[2024.09.07-09.23.03:197][ 13]Failed Spawned Dino: Megalodon - Lvl 45 (Location -209299.013566, 18993.574091, -53470.754436)
[2024.09.07-09.23.03:259][ 13]Failed Spawned Dino: Megalodon - Lvl 40 (Location -210556.067089, 23064.324468, -53480.945120)
[2024.09.07-09.23.03:291][ 13]Failed Spawned Dino: Manta - Lvl 130 (Location -212954.175133, 25193.468819, -53502.522049)
[2024.09.07-09.23.03:297][ 13]Failed Spawned Dino: Manta - Lvl 110 (Location -213200.812945, 25152.605758, -53479.518997)
[2024.09.07-09.23.03:344][ 13]Failed Spawned Dino: Xiphactinus - Lvl 115 (Location -208559.020955, 24338.549557, -53486.457747)
[2024.09.07-09.23.04:041][ 13]Failed Spawned Dino: Coelacanth | 0.3x (Location -232644.289272, 20220.944081, -53387.682717)
[2024.09.07-09.23.04:054][ 13]Failed Spawned Dino: Coelacanth | 1.3x (Location -232694.895593, 20465.768508, -53412.916405)
[2024.09.07-09.23.04:064][ 13]Failed Spawned Dino: Coelacanth | 1.2x (Location -232399.464844, 20271.550402, -53389.952018)
[2024.09.07-09.23.40:814][ 14]Failed Spawned Dino: Manta - Lvl 70 (Location -282066.008133, 134616.648418, -53477.419356)
[2024.09.07-09.23.40:865][ 14]Failed Spawned Dino: Manta - Lvl 15 (Location -282260.791666, 134773.362729, -53453.911084)
[2024.09.07-09.23.40:892][ 14]Failed Spawned Dino: Manta - Lvl 45 (Location -281871.224600, 134459.934107, -53500.927627)
