[2024.09.06-17.53.49:019][ 19]Log file open, 09/06/24 19:53:49
[2024.09.06-17.53.49:020][ 19]Failed Spawned Dino: Aberrant Cnidaria (Location -203853.193393, -464.747772, 33977.107409)
[2024.09.06-17.53.49:101][ 21]Failed Spawned Dino: Aberrant Cnidaria (Location -197875.471069, -3855.702841, 33911.196024)
[2024.09.06-17.53.55:028][156]Failed Spawned Dino: Aberrant Manta - Lvl 45 (Location -23326.034836, -94303.189901, 36935.754343)
[2024.09.06-17.54.10:455][470]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location -40843.317093, -108507.069120, 36805.979521)
[2024.09.06-17.54.18:504][630]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -107972.712729, -133120.476328, 36658.775303)
[2024.09.06-17.54.23:114][676]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location 824.859218, -68923.294137, 36903.496739)
[2024.09.06-17.54.34:831][861]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -55785.591583, -119307.103893, 36575.194717)
[2024.09.06-17.54.43:787][ 16]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -27911.019496, -101167.676051, 36659.656173)
[2024.09.06-17.55.01:011][309]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -33666.879180, -106347.539440, 36777.694159)
[2024.09.06-17.55.07:287][390]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -102818.018295, -124418.419288, 36666.178534)
[2024.09.06-17.55.26:248][617]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -60302.320081, -116780.300097, 36571.313877)
[2024.09.06-17.55.31:048][662]Failed Spawned Dino: Aberrant Manta - Lvl 150 (Location 6397.018162, -66349.209325, 36659.626833)
[2024.09.06-17.55.33:610][694]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -25511.137633, -99170.558524, 36696.125265)
[2024.09.06-17.56.02:324][  3]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -104192.694423, -127081.525456, 36626.099889)
[2024.09.06-17.56.17:418][160]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -62621.660071, -115052.974120, 36537.258418)
[2024.09.06-17.56.31:193][314]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -22937.885431, -100140.033052, 36702.811918)
[2024.09.06-17.56.35:968][363]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location 1908.603111, -70022.560790, 36652.261240)
[2024.09.06-17.56.38:782][394]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -38827.489400, -108715.240876, 36776.854626)
[2024.09.06-17.56.53:872][552]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -107237.823087, -132649.612448, 36639.893161)
[2024.09.06-17.57.07:791][712]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -49194.790252, -119759.132831, 36660.282738)
[2024.09.06-17.57.29:328][945]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -44320.279017, -113293.027311, 36920.033389)
[2024.09.06-17.57.36:232][ 21]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -17752.702903, -91510.497359, 36675.384506)
[2024.09.06-17.57.44:358][101]Failed Spawned Dino: Aberrant Manta - Lvl 120 (Location -108914.645990, -129087.900345, 36875.264709)
[2024.09.06-17.58.09:669][387]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -56192.397510, -117737.392416, 36576.967189)
[2024.09.06-17.58.21:795][531]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -36990.492363, -107322.475440, 36801.068367)
[2024.09.06-17.58.33:276][679]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 197849.480043, -37002.869346, 27699.111689)
[2024.09.06-17.58.33:281][679]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 197768.966675, -36943.560009, 27699.111689)
[2024.09.06-17.58.33:716][684]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -21980.935859, -96503.291472, 36683.336791)
[2024.09.06-17.58.33:887][686]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -112079.450117, -134541.989325, 36709.113908)
[2024.09.06-17.58.55:492][953]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location 3984.031154, -68822.455250, 36569.475838)
[2024.09.06-17.58.57:994][986]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -62195.742153, -120674.095555, 36928.426328)
[2024.09.06-17.59.14:383][204]Failed Spawned Dino: Aberrant Manta - Lvl 20 (Location -33415.696681, -106812.455750, 36777.694159)
[2024.09.06-17.59.19:793][277]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -20114.361225, -101989.911395, 36937.982669)
[2024.09.06-17.59.19:952][279]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -102761.593260, -128865.355292, 36952.125344)
[2024.09.06-17.59.53:108][711]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -51820.371809, -121982.105202, 36588.064551)
[2024.09.06-18.00.04:812][855]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location -38060.746141, -109080.531501, 36786.109472)
[2024.09.06-18.00.04:890][856]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location -23078.948018, -100655.066654, 36705.140407)
[2024.09.06-18.00.05:048][858]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -106276.778279, -126283.534530, 36820.693604)
[2024.09.06-18.00.40:120][305]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location 2565.553089, -69270.627856, 36599.289837)
[2024.09.06-18.00.42:287][332]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -59979.696680, -118424.853778, 36614.425433)
[2024.09.06-18.00.47:695][401]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location 1849.389855, -80668.926771, 36953.361031)
[2024.09.06-18.00.53:191][468]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -38765.148579, -113794.125160, 36948.138428)
[2024.09.06-18.00.53:310][469]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -28561.726612, -103381.107490, 36721.437464)
[2024.09.06-18.01.04:781][603]Failed Spawned Dino: Aberrant Cnidaria (Location -205169.466664, 1276.713455, 33995.312623)
[2024.09.06-18.01.11:967][685]Failed Spawned Dino: Aberrant Manta - Lvl 150 (Location -109530.315195, -133902.109982, 36743.741964)
[2024.09.06-18.01.29:702][897]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -59555.599311, -117281.894061, 36587.610128)
[2024.09.06-18.01.41:831][ 40]Failed Spawned Dino: Aberrant Manta - Lvl 45 (Location -32555.670371, -106956.192584, 36765.210400)
[2024.09.06-18.01.41:917][ 41]Failed Spawned Dino: Aberrant Manta - Lvl 105 (Location -27985.190999, -101593.638940, 36690.134695)
[2024.09.06-18.01.47:833][113]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -5502.238949, -82443.339621, 36517.054233)
[2024.09.06-18.02.00:137][263]Failed Spawned Dino: Aberrant Manta - Lvl 45 (Location -105256.122808, -127121.672527, 36611.373704)
[2024.09.06-18.02.17:441][481]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -55891.161232, -121892.889219, 36575.194717)
[2024.09.06-18.02.21:695][530]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location 852.316186, -69359.017087, 36894.235214)
[2024.09.06-18.02.28:406][622]Failed Spawned Dino: Aberrant Manta - Lvl 20 (Location -39958.263894, -106338.122453, 36914.248811)
[2024.09.06-18.02.28:482][623]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -22973.378813, -101125.261652, 36705.299089)
[2024.09.06-18.02.37:306][748]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 19719.491134, -57072.462534, 17049.138958)
[2024.09.06-18.02.37:317][748]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 19620.917921, -57055.630374, 17043.431128)
[2024.09.06-18.02.37:328][748]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 19818.064347, -57089.294695, 17055.439270)
[2024.09.06-18.02.38:623][766]Failed Spawned Dino: Aberrant Manta - Lvl 45 (Location -11318.107437, -89448.304652, 36635.629387)
[2024.09.06-18.02.54:586][981]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location -105128.256872, -128994.223200, 36630.299670)
[2024.09.06-18.03.06:930][127]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -57554.787929, -123142.412484, 36937.548116)
[2024.09.06-18.03.16:928][244]Failed Spawned Dino: Aberrant Manta - Lvl 35 (Location 5144.897765, -69635.389957, 36828.330538)
[2024.09.06-18.03.19:299][269]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -32235.777128, -107147.016291, 36761.750530)
[2024.09.06-18.03.19:456][270]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -29269.314234, -101173.735082, 36930.298314)
[2024.09.06-18.03.33:992][419]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -5438.533493, -81466.421098, 36494.386002)
[2024.09.06-18.03.40:767][494]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -104373.800211, -125879.088095, 36688.385508)
