[2024.09.06-00.33.40:925][ 58]Log file open, 09/06/24 02:33:40
[2024.09.06-00.33.40:925][ 58]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location 4598.583983, -66776.632639, 36558.146551)
[2024.09.06-00.33.41:109][ 59]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -28855.682469, -104695.957429, 36741.117368)
[2024.09.06-00.33.41:271][ 61]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -41076.752679, -110440.088699, 36805.788775)
[2024.09.06-00.33.58:949][519]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location 545.617030, -183458.201960, 36894.018029)
[2024.09.06-00.34.01:441][593]Failed Spawned Dino: Aberrant Manta - Lvl 5 (Location -91399.714925, -112210.856560, 36650.794642)
[2024.09.06-00.34.11:880][875]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -135504.274492, -118627.757198, 36712.914031)
[2024.09.06-00.34.14:232][938]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -44547.787252, -158402.150992, 36927.923250)
[2024.09.06-00.34.15:263][966]Failed Spawned Dino: Aberrant Salmon | 1.6x (Location 140197.260396, 23927.942166, 18267.474265)
[2024.09.06-00.34.15:271][966]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 140141.881357, 24011.207777, 18265.915351)
[2024.09.06-00.34.22:700][152]Failed Spawned Dino: Aberrant Manta - Lvl 20 (Location -102756.132056, -125609.951801, 36659.253980)
[2024.09.06-00.34.25:578][218]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -7532.628371, -88921.928658, 36841.446726)
[2024.09.06-00.34.28:262][289]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -20989.403402, -102307.414672, 36937.982669)
[2024.09.06-00.34.30:956][362]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -34004.518447, -109484.483273, 36946.464244)
[2024.09.06-00.34.44:144][707]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -11046.075858, -181026.562201, 36655.143256)
[2024.09.06-00.34.47:138][782]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -92078.634559, -111968.485787, 36645.524898)
[2024.09.06-00.34.49:675][844]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 207057.513005, -34072.609893, 27816.356954)
[2024.09.06-00.34.49:682][844]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 206992.634386, -34148.706968, 27811.538072)
[2024.09.06-00.34.49:693][844]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 207122.391625, -33996.512819, 27817.200554)
[2024.09.06-00.34.59:428][ 67]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -44881.786753, -156056.753916, 36929.285261)
[2024.09.06-00.34.59:742][ 74]Failed Spawned Dino: Aberrant Manta - Lvl 120 (Location -135118.399774, -119060.952161, 36640.988001)
[2024.09.06-00.35.00:571][ 94]Failed Spawned Dino: Aberrant Salmon | 0.9x (Location 137775.081802, 13347.386399, 18284.000691)
