[2024.09.06-03.52.08:443][ 14]Log file open, 09/06/24 05:52:08
[2024.09.06-03.52.08:444][ 14]Failed Spawned Dino: Aberrant Salmon | 0.8x (Location 169953.728093, 32342.813459, -9176.643235)
[2024.09.06-03.52.08:455][ 14]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 170053.672756, 32346.139773, -9165.956858)
[2024.09.06-03.52.08:467][ 14]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 169853.783430, 32339.487145, -9185.723305)
[2024.09.06-03.52.08:871][ 17]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -29864.121050, -171304.762615, 36882.398944)
[2024.09.06-03.52.09:324][ 29]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 178671.326880, 6899.865236, -9098.020133)
[2024.09.06-03.52.09:335][ 29]Failed Spawned Dino: Aberrant Salmon | 0.7x (Location 178700.324102, 6995.568742, -9108.571543)
[2024.09.06-03.52.09:346][ 29]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 178642.329657, 6804.161730, -9087.468723)
[2024.09.06-03.52.16:648][194]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -1810.580978, -183464.645161, 36614.343111)
[2024.09.06-03.52.16:779][198]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -19810.394791, -92828.376813, 36633.519650)
[2024.09.06-03.52.16:812][199]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -53757.477292, -121580.632069, 36583.485745)
[2024.09.06-03.52.21:651][304]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -95816.334533, -117562.346554, 36571.650134)
[2024.09.06-03.52.33:011][612]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -36608.246734, -166952.044988, 36938.513665)
[2024.09.06-03.52.33:247][619]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -145927.227929, -96872.602584, 36808.297434)
[2024.09.06-03.52.47:834][ 28]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -46042.150853, -115078.344041, 36829.397330)
[2024.09.06-03.52.48:009][ 32]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -121350.383062, -132001.012217, 36762.194526)
[2024.09.06-03.52.54:434][135]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -143979.397370, -110895.183249, 36708.338568)
[2024.09.06-03.53.01:095][230]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -20514.410577, -176338.543519, 36931.227302)
[2024.09.06-03.53.04:232][285]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 178587.489485, 6568.484011, -9078.325191)
[2024.09.06-03.53.04:241][285]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 178507.606097, 6628.639181, -9069.635009)
[2024.09.06-03.53.06:721][329]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -2015.804046, -180999.302018, 36796.544445)
[2024.09.06-03.53.06:937][333]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -19434.076513, -92980.463222, 36609.351298)
[2024.09.06-03.53.06:997][334]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -49409.113846, -120980.900281, 36660.612745)
[2024.09.06-03.53.12:172][432]Failed Spawned Dino: Aberrant Manta - Lvl 35 (Location -84873.528657, -107163.197506, 36642.717291)
[2024.09.06-03.53.26:100][623]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -145639.642440, -104502.081432, 36942.865353)
[2024.09.06-03.53.34:024][718]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -31681.527126, -169711.306455, 36917.879761)
[2024.09.06-03.53.34:402][723]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -123373.036149, -126443.333474, 36951.553410)
[2024.09.06-03.53.49:637][910]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -35987.583360, -105107.433163, 36907.306614)
[2024.09.06-03.53.50:012][915]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -132333.554580, -120666.845179, 36639.894405)
[2024.09.06-03.53.57:155][ 11]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -12768.857747, -179938.123821, 36847.123677)
[2024.09.06-03.53.57:247][ 12]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -29081.906898, -170482.981406, 36822.141073)
[2024.09.06-03.53.57:556][ 16]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -60120.304241, -120783.633373, 36597.641158)
[2024.09.06-03.54.05:103][117]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -22313.115256, -93937.819688, 36644.160600)
[2024.09.06-03.54.12:670][217]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -91632.240458, -111272.598700, 36643.832705)
[2024.09.06-03.54.25:341][405]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -38304.636210, -164646.794983, 36919.566881)
[2024.09.06-03.54.25:723][410]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -127107.095469, -125164.566050, 36878.914449)
[2024.09.06-03.54.35:378][536]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 173948.150471, 31932.716250, 18272.202609)
[2024.09.06-03.54.35:382][536]Failed Spawned Dino: Aberrant Salmon | 0.9x (Location 173855.151519, 31895.957645, 18271.105904)
