[2024.09.09-05.30.44:429][115]Log file open, 09/09/24 07:30:44
[2024.09.09-05.30.44:429][115]Failed Spawned Dino: Piranha | 0.8x (Location 138070.601480, 162915.127510, -14404.456148)
[2024.09.09-05.33.23:710][621]Failed Spawned Dino: Manta - Lvl 25 (Location -157502.473541, 25424.896672, -53375.394947)
[2024.09.09-05.33.23:715][621]Failed Spawned Dino: Manta - Lvl 30 (Location -157620.685204, 25645.182856, -53429.392828)
[2024.09.09-05.33.24:511][645]Failed Spawned Dino: Piranha | 1.0x (Location 120534.490409, 29331.563400, -14427.183453)
[2024.09.09-05.33.59:064][659]Failed Spawned Dino: Piranha | 1.1x (Location 142762.731976, 52054.954888, -14317.661214)
[2024.09.09-05.36.47:198][533]Failed Spawned Dino: Manta - Lvl 75 (Location -263384.752266, 144443.824813, -53457.843783)
[2024.09.09-05.36.47:224][533]Failed Spawned Dino: Manta - Lvl 100 (Location -263025.772043, 145410.071779, -53384.127305)
[2024.09.09-05.36.47:254][533]Failed Spawned Dino: Manta - Lvl 140 (Location -263633.220977, 144471.452691, -53417.956089)
[2024.09.09-05.36.47:316][533]Failed Spawned Dino: Manta - Lvl 80 (Location -263881.689688, 144499.080569, -53378.068396)
[2024.09.09-05.36.47:343][533]Failed Spawned Dino: Manta - Lvl 105 (Location -262777.303332, 145382.443901, -53424.014999)
[2024.09.09-05.37.03:216][889]Failed Spawned Dino: Manta - Lvl 45 (Location -209736.678226, 22874.393685, -53603.598319)
[2024.09.09-05.37.03:257][889]Failed Spawned Dino: Manta - Lvl 35 (Location -209903.503794, 22688.196935, -53590.305682)
[2024.09.09-05.37.37:808][873]Failed Spawned Dino: Piranha | 1.1x (Location 32112.428172, 145157.416887, -14315.233273)
[2024.09.09-05.38.00:101][542]Failed Spawned Dino: Coelacanth | 0.6x (Location -269738.165404, 138490.285961, -53470.875672)
[2024.09.09-05.38.00:113][542]Failed Spawned Dino: Coelacanth | 0.6x (Location -269925.374375, 138655.974830, -53426.694491)
[2024.09.09-05.38.00:125][542]Failed Spawned Dino: Coelacanth | 1.0x (Location -269903.854273, 138303.076990, -53474.372979)
[2024.09.09-05.40.21:633][779]Failed Spawned Dino: Piranha | 0.9x (Location -32859.710730, 69281.259573, -14409.464502)
[2024.09.09-05.41.51:552][471]Failed Spawned Dino: Piranha | 1.1x (Location -70099.251124, -11603.434163, -14357.369880)
[2024.09.09-05.43.26:068][244]Failed Spawned Dino: Piranha | 0.8x (Location 146636.840707, 40313.676511, -14368.402231)
[2024.09.09-05.43.27:240][279]Failed Spawned Dino: Xiphactinus - Lvl 90 (Location -200698.608051, 14947.334543, -53535.329384)
[2024.09.09-05.43.27:256][279]Failed Spawned Dino: Xiphactinus - Lvl 20 (Location -202040.084749, 14926.351926, -53578.123209)
[2024.09.09-05.44.19:814][855]Failed Spawned Dino: Piranha | 1.0x (Location -80554.683146, -49664.721601, -14432.751654)
[2024.09.09-05.44.23:514][966]Failed Spawned Dino: Xiphactinus - Lvl 60 (Location -217895.118530, 22690.780049, -53439.784969)
[2024.09.09-05.44.23:524][966]Failed Spawned Dino: Xiphactinus - Lvl 70 (Location -218865.634014, 23617.116755, -53388.416294)
[2024.09.09-05.45.16:670][560]Failed Spawned Dino: Megalodon - Lvl 60 (Location -208398.180372, 20061.338289, -53450.623777)
[2024.09.09-05.46.53:870][471]Failed Spawned Dino: Xiphactinus - Lvl 20 (Location -203869.022759, 16753.596389, -53578.804795)
[2024.09.09-05.46.53:884][471]Failed Spawned Dino: Xiphactinus - Lvl 45 (Location -205172.395258, 16435.445278, -53530.969684)
[2024.09.09-05.47.58:623][396]Failed Spawned Dino: Coelacanth | 0.5x (Location -254141.710499, 102869.350933, -53421.615271)
