[2024.09.10-03.11.23:236][606]Log file open, 09/10/24 05:11:23
[2024.09.10-03.11.23:236][606]Failed Spawned Dino: Piranha | 0.9x (Location 187429.705080, 164744.473150, -14375.467722)
[2024.09.10-03.13.15:226][964]Failed Spawned Dino: Piranha | 1.1x (Location 27503.923793, 146677.090939, -14368.512157)
[2024.09.10-03.13.15:427][970]Failed Spawned Dino: Piranha | 1.0x (Location -23212.634432, 52487.872377, -14341.309850)
[2024.09.10-03.13.46:411][900]Failed Spawned Dino: Piranha | 1.1x (Location -131888.753695, -33467.434204, -14415.729307)
[2024.09.10-03.14.30:124][212]Failed Spawned Dino: Manta - Lvl 10 (Location -155579.275810, 20358.697676, -53407.353851)
[2024.09.10-03.16.15:069][354]Failed Spawned Dino: Piranha | 0.9x (Location -101668.359492, -48526.852762, -14463.677367)
[2024.09.10-03.16.20:067][503]Failed Spawned Dino: Coelacanth | 1.4x (Location -216817.615954, 24426.428369, -53492.718564)
[2024.09.10-03.22.34:703][578]Failed Spawned Dino: Piranha | 1.0x (Location 145745.685573, 147882.872121, -14389.469226)
[2024.09.10-03.23.59:837][131]Failed Spawned Dino: Coelacanth | 1.3x (Location -281820.849276, 134887.180882, -53482.495655)
[2024.09.10-03.23.59:841][131]Failed Spawned Dino: Coelacanth | 0.5x (Location -281585.079010, 134804.040148, -53489.422789)
[2024.09.10-03.25.42:293][ 47]Failed Spawned Dino: Piranha | 1.0x (Location 84194.342404, 25620.659304, -14408.140617)
[2024.09.10-03.26.05:728][749]Failed Spawned Dino: Piranha | 0.9x (Location -65992.734267, -20965.958779, -14358.350021)
[2024.09.10-03.26.08:700][838]Failed Spawned Dino: Piranha | 0.9x (Location -35409.922577, 50071.785767, -14321.990407)
[2024.09.10-03.27.29:679][147]Failed Spawned Dino: Piranha | 1.0x (Location -32036.969043, 59573.147303, -14344.339494)
[2024.09.10-03.28.17:458][577]Failed Spawned Dino: Manta - Lvl 10 (Location -141373.031250, 47772.903973, -53574.059519)
[2024.09.10-03.28.17:467][577]Failed Spawned Dino: Manta - Lvl 100 (Location -141521.613184, 47571.848237, -53537.344842)
[2024.09.10-03.28.17:477][577]Failed Spawned Dino: Manta - Lvl 45 (Location -141224.449316, 47973.959708, -53610.774196)
[2024.09.10-03.29.44:536][169]Failed Spawned Dino: Ichthyosaurus - Lvl 125 (Location -175821.650157, 58502.417094, -53458.433624)
[2024.09.10-03.30.46:844][891]Failed Spawned Dino: Piranha | 1.0x (Location 133969.839289, 141921.882977, -14457.975345)
[2024.09.10-03.32.00:438][ 95]Failed Spawned Dino: Coelacanth | 0.3x (Location -158469.120643, 31291.214937, -53493.251707)
[2024.09.10-03.32.00:448][ 95]Failed Spawned Dino: Coelacanth | 0.8x (Location -158488.802990, 31041.990931, -53503.710960)
[2024.09.10-03.32.00:459][ 95]Failed Spawned Dino: Coelacanth | 0.5x (Location -158449.438295, 31540.438943, -53482.792454)
[2024.09.10-03.32.00:470][ 95]Failed Spawned Dino: Coelacanth | 1.2x (Location -158219.896637, 31271.532589, -53449.358357)
[2024.09.10-03.33.07:994][118]Failed Spawned Dino: Manta - Lvl 40 (Location -209773.699252, 23273.408165, -53591.435307)
[2024.09.10-03.33.08:011][118]Failed Spawned Dino: Manta - Lvl 145 (Location -209680.133293, 23505.238731, -53579.456142)
[2024.09.10-03.33.08:019][118]Failed Spawned Dino: Manta - Lvl 25 (Location -209867.265211, 23041.577599, -53599.151710)
[2024.09.10-03.33.22:897][564]Failed Spawned Dino: Piranha | 1.1x (Location 137233.476639, 148112.255882, -14417.854040)
[2024.09.10-03.33.39:472][ 58]Failed Spawned Dino: Piranha | 0.9x (Location 74876.320829, 140987.743795, -14399.909534)
[2024.09.10-03.37.12:633][361]Failed Spawned Dino: Manta - Lvl 70 (Location -209398.557885, 21998.157061, -53572.660766)
[2024.09.10-03.37.12:642][361]Failed Spawned Dino: Manta - Lvl 50 (Location -209360.523223, 22245.246851, -53567.333191)
[2024.09.10-03.37.12:653][361]Failed Spawned Dino: Manta - Lvl 105 (Location -209436.592548, 21751.067270, -53577.151660)
[2024.09.10-03.37.39:435][165]Failed Spawned Dino: Piranha | 1.1x (Location -21468.658926, -197632.460936, -10103.608942)
[2024.09.10-03.38.47:903][216]Failed Spawned Dino: Manta - Lvl 50 (Location -159025.252266, 29767.775525, -53564.902475)
[2024.09.10-03.38.47:912][216]Failed Spawned Dino: Manta - Lvl 95 (Location -158775.373997, 29759.974831, -53520.561144)
[2024.09.10-03.38.47:924][216]Failed Spawned Dino: Manta - Lvl 30 (Location -159275.130534, 29775.576219, -53609.243806)
[2024.09.10-03.46.59:494][816]Failed Spawned Dino: Piranha | 1.0x (Location -60142.510008, 99290.777578, -14417.150170)
[2024.09.10-03.50.21:833][863]Failed Spawned Dino: Piranha | 0.9x (Location 40074.691067, 51556.749852, -14394.721598)
[2024.09.10-03.51.03:925][124]Failed Spawned Dino: Basilosaurus - Lvl 60 (Location -284265.850995, 65670.321426, -53808.294825)
[2024.09.10-03.55.29:570][ 68]Failed Spawned Dino: Piranha | 0.9x (Location 102752.053641, 26729.855910, -14368.054929)
[2024.09.10-03.56.19:537][564]Failed Spawned Dino: Piranha | 0.9x (Location 126286.487830, 25748.934243, -14340.255794)
[2024.09.10-04.00.20:753][677]Failed Spawned Dino: Xiphactinus - Lvl 150 (Location -158320.177864, 21392.097650, -53716.518500)
[2024.09.10-04.00.21:088][687]Failed Spawned Dino: Megalodon - Lvl 40 (Location -214704.836183, 22473.782414, -53426.342780)
[2024.09.10-04.04.15:372][396]Failed Spawned Dino: Coelacanth | 0.4x (Location -157367.554306, 26594.808702, -53427.774250)
[2024.09.10-04.04.15:383][396]Failed Spawned Dino: Coelacanth | 1.1x (Location -157313.853653, 26350.644331, -53425.006599)
[2024.09.10-04.04.56:521][498]Failed Spawned Dino: Manta - Lvl 95 (Location -213779.322573, 20664.648432, -53387.494921)
[2024.09.10-04.04.56:698][498]Failed Spawned Dino: Manta - Lvl 35 (Location -213657.452589, 20882.931979, -53427.795914)
[2024.09.10-04.04.57:154][509]Failed Spawned Dino: Piranha | 0.8x (Location 123937.648566, 36922.392755, -14396.155122)
[2024.09.10-04.05.10:866][911]Failed Spawned Dino: Coelacanth | 1.5x (Location 34725.190083, 34374.955536, -51942.823049)
[2024.09.10-04.05.10:871][911]Failed Spawned Dino: Coelacanth | 1.2x (Location 34575.262080, 34575.009514, -52006.215745)
[2024.09.10-04.12.28:687][570]Failed Spawned Dino: Manta - Lvl 10 (Location -157446.531478, 23127.369247, -53476.908096)
[2024.09.10-04.12.28:695][570]Failed Spawned Dino: Manta - Lvl 70 (Location -157435.030277, 23377.104552, -53465.779322)
[2024.09.10-04.14.56:646][998]Failed Spawned Dino: Piranha | 0.9x (Location 87621.951922, -105089.604163, -14437.465416)
[2024.09.10-04.15.23:093][790]Failed Spawned Dino: Ichthyosaurus - Lvl 125 (Location -158832.744856, 23891.083967, -53662.914629)
[2024.09.10-04.15.23:115][790]Failed Spawned Dino: Ichthyosaurus - Lvl 35 (Location -158637.526312, 23734.911882, -53632.843382)
[2024.09.10-04.15.23:138][790]Failed Spawned Dino: Ichthyosaurus - Lvl 145 (Location -159027.963400, 24047.256052, -53692.985876)
[2024.09.10-04.16.43:459][ 86]Failed Spawned Dino: Xiphactinus - Lvl 90 (Location -201782.459624, 16169.964927, -53539.219555)
[2024.09.10-04.16.43:468][ 86]Failed Spawned Dino: Xiphactinus - Lvl 25 (Location -203051.073388, 15733.365435, -53626.284078)
[2024.09.10-04.18.13:252][772]Failed Spawned Dino: Ichthyosaurus - Lvl 125 (Location -201510.712523, 15496.606871, -53570.025305)
[2024.09.10-04.18.13:263][772]Failed Spawned Dino: Ichthyosaurus - Lvl 100 (Location -201500.576315, 15246.812441, -53571.873040)
