[2024.09.14-05.02.01:403][ 83]Log file open, 09/14/24 07:02:01
[2024.09.14-05.02.01:403][ 83]Failed Spawned Dino: Manta - Lvl 55 (Location -213285.091332, 27287.890171, -53438.188770)
[2024.09.14-05.02.01:421][ 83]Failed Spawned Dino: Manta - Lvl 20 (Location -214214.321135, 27657.392503, -53396.425313)
[2024.09.14-05.02.01:433][ 83]Failed Spawned Dino: Manta - Lvl 45 (Location -213377.466915, 27055.582721, -53451.647799)
[2024.09.14-05.02.01:444][ 83]Failed Spawned Dino: Manta - Lvl 20 (Location -214306.696718, 27425.085052, -53404.427592)
[2024.09.14-05.02.01:455][ 83]Failed Spawned Dino: Manta - Lvl 125 (Location -213192.715749, 27520.197622, -53424.729741)
[2024.09.14-05.02.01:466][ 83]Failed Spawned Dino: Manta - Lvl 90 (Location -214121.945553, 27889.699953, -53411.019354)
[2024.09.14-05.02.01:477][ 83]Failed Spawned Dino: Manta - Lvl 65 (Location -214029.569970, 28122.007404, -53444.297244)
[2024.09.14-05.02.01:488][ 83]Failed Spawned Dino: Manta - Lvl 35 (Location -213469.842498, 26823.275270, -53453.679747)
[2024.09.14-05.02.01:499][ 83]Failed Spawned Dino: Manta - Lvl 30 (Location -214166.764850, 27100.402018, -53409.956035)
[2024.09.14-05.03.17:267][349]Failed Spawned Dino: Piranha | 0.9x (Location -19117.626907, 51589.949280, -14425.875948)
[2024.09.14-05.03.17:740][363]Failed Spawned Dino: Manta - Lvl 60 (Location -212941.835327, 20474.717649, -53404.891057)
[2024.09.14-05.03.51:446][369]Failed Spawned Dino: Piranha | 1.0x (Location -21799.566823, -197791.070924, -10098.731656)
[2024.09.14-05.04.31:279][558]Failed Spawned Dino: Piranha | 1.1x (Location 147262.076853, 41711.026366, -14337.830116)
[2024.09.14-05.05.14:958][682]Failed Spawned Dino: Piranha | 0.9x (Location 28287.830964, 143144.263872, -14328.541121)
[2024.09.14-05.08.35:682][ 31]Failed Spawned Dino: Megalodon - Lvl 15 (Location -214687.559650, 23011.654541, -53441.963030)
[2024.09.14-05.09.12:136][ 79]Failed Spawned Dino: Piranha | 0.9x (Location 78368.611032, -101621.666887, -14342.765575)
[2024.09.14-05.09.27:162][493]Failed Spawned Dino: Piranha | 1.1x (Location -54941.688283, -26350.467441, -14302.562379)
[2024.09.14-05.10.21:154][ 63]Failed Spawned Dino: Piranha | 1.0x (Location 96635.820450, 138834.241849, -14410.808599)
[2024.09.14-05.10.22:083][ 90]Failed Spawned Dino: Piranha | 1.0x (Location 30393.587905, 143135.209483, -14329.768714)
[2024.09.14-05.11.01:787][104]Failed Spawned Dino: Manta - Lvl 15 (Location -209596.823871, 27080.809687, -53564.132012)
[2024.09.14-05.11.01:795][104]Failed Spawned Dino: Manta - Lvl 145 (Location -209555.452503, 26834.256630, -53579.584333)
[2024.09.14-05.11.34:215][ 44]Failed Spawned Dino: Piranha | 1.1x (Location 146493.695737, 39669.665745, -14367.876680)
[2024.09.14-05.11.35:660][ 87]Failed Spawned Dino: Manta - Lvl 100 (Location -230138.408763, 22352.481669, -53495.355787)
[2024.09.14-05.11.35:685][ 87]Failed Spawned Dino: Manta - Lvl 40 (Location -230298.138610, 22544.800093, -53517.857253)
[2024.09.14-05.15.41:484][401]Failed Spawned Dino: Xiphactinus - Lvl 140 (Location -143473.493124, 48951.147381, -53764.919399)
[2024.09.14-05.15.41:500][401]Failed Spawned Dino: Xiphactinus - Lvl 40 (Location -142665.643088, 47879.989913, -53566.246709)
[2024.09.14-05.16.36:947][ 44]Failed Spawned Dino: Coelacanth | 0.9x (Location -150986.857246, 44214.488764, -53373.094613)
[2024.09.14-05.16.36:954][ 44]Failed Spawned Dino: Coelacanth | 0.8x (Location -151114.088910, 44429.691236, -53398.571739)
[2024.09.14-05.16.36:965][ 44]Failed Spawned Dino: Coelacanth | 0.3x (Location -151202.059717, 44087.257101, -53371.383387)
[2024.09.14-05.18.09:659][819]Failed Spawned Dino: Coelacanth | 1.1x (Location -282470.527229, 50534.576334, -53495.102725)
[2024.09.14-05.19.44:318][649]Failed Spawned Dino: Basilosaurus - Lvl 135 (Location -230372.871515, 22370.038572, -53424.125514)
[2024.09.14-05.19.44:330][649]Failed Spawned Dino: Manta - Lvl 40 (Location -229876.547366, 22309.521307, -53483.421420)
[2024.09.14-05.19.44:341][649]Failed Spawned Dino: Manta - Lvl 110 (Location -230869.195663, 22430.555837, -53519.663277)
[2024.09.14-05.19.44:353][649]Failed Spawned Dino: Manta - Lvl 50 (Location -229906.805998, 22061.359232, -53461.605323)
