[2024.09.14-07.16.28:550][588]Log file open, 09/14/24 09:16:28
[2024.09.14-07.16.28:551][588]Failed Spawned Dino: Manta - Lvl 105 (Location -260107.063679, 147667.629911, -53643.131646)
[2024.09.14-07.16.28:692][588]Failed Spawned Dino: Manta - Lvl 140 (Location -260179.430561, 147428.332952, -53658.171295)
[2024.09.14-07.19.08:214][363]Failed Spawned Dino: Piranha | 0.9x (Location -13455.238919, 159640.356438, -14429.590551)
[2024.09.14-07.20.55:317][585]Failed Spawned Dino: Piranha | 1.0x (Location 106582.404111, 34654.197454, -14442.197756)
[2024.09.14-07.21.17:616][256]Failed Spawned Dino: Manta - Lvl 40 (Location -261391.223066, 147228.307022, -53468.584944)
[2024.09.14-07.21.17:710][256]Failed Spawned Dino: Manta - Lvl 145 (Location -261216.650495, 147407.260696, -53480.032714)
[2024.09.14-07.21.17:776][256]Failed Spawned Dino: Manta - Lvl 145 (Location -261565.795637, 147049.353347, -53457.137173)
[2024.09.14-07.21.17:870][256]Failed Spawned Dino: Manta - Lvl 140 (Location -261740.368208, 146870.399673, -53445.689403)
[2024.09.14-07.21.17:939][256]Failed Spawned Dino: Manta - Lvl 35 (Location -261221.031598, 147760.786941, -53440.896328)
[2024.09.14-07.22.38:745][674]Failed Spawned Dino: Xiphactinus - Lvl 140 (Location -214212.679712, 26410.236647, -53408.427917)
[2024.09.14-07.22.38:751][674]Failed Spawned Dino: Xiphactinus - Lvl 90 (Location -213474.382637, 27356.237403, -53400.132043)
[2024.09.14-07.23.05:765][486]Failed Spawned Dino: Piranha | 1.0x (Location -131122.107713, -45295.846046, -14415.739135)
[2024.09.14-07.23.11:690][664]Failed Spawned Dino: Ichthyosaurus - Lvl 30 (Location -142857.966295, 48334.717046, -53640.298084)
[2024.09.14-07.23.43:714][629]Failed Spawned Dino: Piranha | 0.9x (Location 131627.064742, 19065.330755, -14355.078592)
[2024.09.14-07.24.14:237][548]Failed Spawned Dino: Piranha | 0.9x (Location -27335.182918, -191296.103356, -10098.779170)
[2024.09.14-07.25.52:197][493]Failed Spawned Dino: Megalodon - Lvl 80 (Location -194451.213577, 61589.196197, -53871.631385)
[2024.09.14-07.25.52:628][506]Failed Spawned Dino: Xiphactinus - Lvl 40 (Location -232943.543411, 23652.610698, -53793.902716)
[2024.09.14-07.26.17:219][245]Failed Spawned Dino: Piranha | 1.0x (Location -129898.064795, -33260.684942, -14415.729307)
[2024.09.14-07.27.17:169][ 33]Failed Spawned Dino: Piranha | 1.1x (Location -149898.449913, -11242.755859, -14316.839940)
[2024.09.14-07.28.44:548][658]Failed Spawned Dino: Piranha | 0.9x (Location -20036.589105, -196784.881090, -10103.216304)
[2024.09.14-07.30.52:052][491]Failed Spawned Dino: Piranha | 1.0x (Location -20389.137042, 50870.104685, -14322.521007)
[2024.09.14-07.30.52:690][510]Failed Spawned Dino: Megalodon - Lvl 25 (Location -238495.181236, 21331.801359, -53926.061015)
[2024.09.14-07.31.38:969][826]Failed Spawned Dino: Ichthyosaurus - Lvl 40 (Location -146264.679996, 47839.140774, -53644.569054)
[2024.09.14-07.31.38:980][826]Failed Spawned Dino: Ichthyosaurus - Lvl 145 (Location -146027.818870, 47759.160733, -53621.494492)
[2024.09.14-07.34.12:905][429]Failed Spawned Dino: Coelacanth | 1.2x (Location -142253.604806, 47025.078246, -53508.128737)
[2024.09.14-07.35.50:156][354]Failed Spawned Dino: Xiphactinus - Lvl 40 (Location -158833.172698, 21621.133822, -53776.514164)
[2024.09.14-07.39.31:465][997]Failed Spawned Dino: Coelacanth | 1.2x (Location -153364.398946, 17402.301866, -53475.146591)
[2024.09.14-07.39.31:473][997]Failed Spawned Dino: Coelacanth | 2.3x (Location -153233.390823, 17615.226435, -53451.951420)
[2024.09.14-07.39.31:484][997]Failed Spawned Dino: Coelacanth | 0.4x (Location -153495.407069, 17189.377298, -53498.341762)
[2024.09.14-07.39.31:495][997]Failed Spawned Dino: Coelacanth | 1.2x (Location -153577.323514, 17533.309990, -53479.429134)
[2024.09.14-07.40.12:990][244]Failed Spawned Dino: Ichthyosaurus - Lvl 145 (Location -204563.673856, 14338.664925, -53518.580802)
[2024.09.14-07.40.12:995][244]Failed Spawned Dino: Ichthyosaurus - Lvl 120 (Location -204512.504270, 14093.957603, -53499.327332)
[2024.09.14-07.41.35:301][626]Failed Spawned Dino: Manta - Lvl 145 (Location -213726.671125, 25259.704841, -53460.426376)
[2024.09.14-07.41.35:320][626]Failed Spawned Dino: Manta - Lvl 65 (Location -213842.829103, 25038.328862, -53461.136501)
[2024.09.14-07.47.28:324][739]Failed Spawned Dino: Ichthyosaurus - Lvl 40 (Location -284738.891374, 64803.660869, -53683.695670)
[2024.09.14-07.47.28:350][739]Failed Spawned Dino: Ichthyosaurus - Lvl 65 (Location -284598.008582, 64597.137169, -53667.944312)
[2024.09.14-07.50.08:978][565]Failed Spawned Dino: Coelacanth | 0.9x (Location -205408.564986, 12921.364152, -53428.120879)
[2024.09.14-07.50.09:006][565]Failed Spawned Dino: Coelacanth | 0.5x (Location -205521.078002, 13144.614731, -53424.205465)
[2024.09.14-07.50.09:033][565]Failed Spawned Dino: Coelacanth | 1.4x (Location -205296.051970, 12698.113572, -53432.036294)
[2024.09.14-07.50.09:060][565]Failed Spawned Dino: Coelacanth | 1.3x (Location -205631.815566, 12808.851136, -53396.696591)
[2024.09.14-07.51.14:066][519]Failed Spawned Dino: Coelacanth | 1.4x (Location -141963.939852, 46457.019383, -53403.034410)
[2024.09.14-08.03.13:821][112]Failed Spawned Dino: Piranha | 0.9x (Location 36523.382211, 30465.414626, -14342.551062)
[2024.09.14-08.11.54:924][778]Failed Spawned Dino: Piranha | 0.8x (Location 100644.856981, 29073.505931, -14461.311989)
