[2024.09.07-03.59.46:781][331]Log file open, 09/07/24 05:59:46
[2024.09.07-03.59.46:782][331]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -8687.602275, -180563.133753, 36796.616048)
[2024.09.07-03.59.55:263][585]Failed Spawned Dino: Aberrant Manta - Lvl 120 (Location -25804.183438, -100270.306358, 36716.651223)
[2024.09.07-03.59.55:366][588]Failed Spawned Dino: Aberrant Manta - Lvl 5 (Location -101922.954074, -124508.626049, 36663.026124)
[2024.09.07-04.00.00:990][752]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -45204.422163, -121118.782290, 36886.430201)
[2024.09.07-04.00.04:040][843]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -95087.360232, -115805.281270, 36649.272521)
[2024.09.07-04.00.04:107][845]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -122431.103333, -130085.339720, 36898.931967)
[2024.09.07-04.00.10:641][ 13]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -56832.183996, -115710.200060, 36925.661397)
[2024.09.07-04.00.10:774][ 17]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -135118.854801, -120517.655920, 36671.232669)
[2024.09.07-04.00.33:423][600]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -11272.230579, -181225.812117, 36675.511710)
[2024.09.07-04.00.42:636][841]Failed Spawned Dino: Aberrant Cnidaria (Location -194090.998826, -492.021709, 35069.830265)
[2024.09.07-04.00.42:676][842]Failed Spawned Dino: Aberrant Cnidaria (Location -203281.106525, -1485.202238, 33927.613281)
[2024.09.07-04.00.42:981][850]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -22047.371472, -97541.235415, 36697.272853)
[2024.09.07-04.00.43:090][853]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -111577.541034, -135467.360298, 36759.921152)
[2024.09.07-04.00.51:932][104]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -32658.964889, -107329.414272, 36759.655258)
[2024.09.07-04.00.52:031][107]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -90009.111988, -111962.537732, 36848.989551)
[2024.09.07-04.00.55:045][190]Failed Spawned Dino: Aberrant Manta - Lvl 20 (Location -123677.458055, -126947.900256, 36905.203932)
[2024.09.07-04.00.57:769][267]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -54496.463059, -121584.597116, 36589.147910)
[2024.09.07-04.00.57:913][271]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -146766.063114, -108926.972908, 36696.973510)
[2024.09.07-04.01.24:223][  0]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -4548.102552, -179328.479415, 36763.640586)
[2024.09.07-04.01.30:012][163]Failed Spawned Dino: Aberrant Cnidaria (Location -197048.786086, -3453.868384, 34069.000056)
[2024.09.07-04.01.30:346][172]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -27027.786402, -102666.725855, 36695.967598)
[2024.09.07-04.01.30:457][175]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -107547.705308, -133872.371160, 36606.825536)
[2024.09.07-04.01.36:571][329]Failed Spawned Dino: Aberrant Cnidaria (Location -200967.010770, -1719.895285, 34071.794497)
[2024.09.07-04.01.42:771][497]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -45460.609507, -118134.001985, 36751.376977)
[2024.09.07-04.01.42:847][499]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -51733.459125, -120142.267137, 36589.325712)
[2024.09.07-04.01.42:898][500]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -86422.941094, -108696.230361, 36675.985343)
[2024.09.07-04.01.42:980][502]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -126723.951797, -122775.552486, 36702.467975)
[2024.09.07-04.01.43:022][503]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -144338.423761, -112262.175879, 36698.472933)
[2024.09.07-04.02.09:252][230]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -2572.773085, -184305.756460, 36710.295223)
