[2024.09.06-18.11.28:533][141]Log file open, 09/06/24 20:11:28
[2024.09.06-18.11.28:533][141]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -32881.934870, -104989.469135, 36762.245620)
[2024.09.06-18.11.35:454][349]Failed Spawned Dino: Aberrant Cnidaria (Location -195771.748620, 77.074671, 33985.998205)
[2024.09.06-18.11.37:116][399]Failed Spawned Dino: Aberrant Manta - Lvl 5 (Location 1434.969818, -71022.648808, 36828.089098)
[2024.09.06-18.12.02:954][138]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -50027.968235, -121029.969193, 36604.494149)
[2024.09.06-18.12.05:367][210]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -107893.990963, -128402.421507, 36818.530558)
[2024.09.06-18.12.10:685][342]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 188070.666912, -31432.303716, 27771.423097)
[2024.09.06-18.12.10:690][342]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 187996.137053, -31498.976799, 27789.279735)
[2024.09.06-18.12.10:701][342]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 188145.196772, -31365.630632, 27752.199177)
[2024.09.06-18.12.15:872][488]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -42324.927950, -115510.547258, 36727.767809)
[2024.09.06-18.12.25:389][742]Failed Spawned Dino: Aberrant Manta - Lvl 35 (Location 457.015335, -75452.497785, 36487.249875)
[2024.09.06-18.12.51:362][403]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -53051.255193, -120637.913047, 36569.532552)
[2024.09.06-18.12.54:159][475]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -106766.401208, -130300.250324, 36685.774399)
[2024.09.06-18.13.02:939][684]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -37384.101639, -109019.071333, 36794.591046)
[2024.09.06-18.13.15:612][ 19]Failed Spawned Dino: Aberrant Cnidaria (Location -194164.641352, -680.306718, 35145.387602)
[2024.09.06-18.13.40:384][505]Failed Spawned Dino: Aberrant Manta - Lvl 150 (Location -48960.444614, -120462.950013, 36743.436760)
[2024.09.06-18.13.40:527][507]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -100109.619291, -121530.289914, 36933.093355)
[2024.09.06-18.13.54:128][712]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -40457.443264, -116950.894714, 36950.540715)
[2024.09.06-18.14.04:432][841]Failed Spawned Dino: Aberrant Cnidaria (Location -202042.966242, -629.263069, 34074.034015)
[2024.09.06-18.14.31:093][248]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -107211.885701, -127099.863799, 36883.103685)
[2024.09.06-18.14.40:209][377]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location -56487.718445, -118780.727416, 36575.194717)
[2024.09.06-18.14.44:486][442]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -46191.403913, -119801.355171, 36656.125996)
[2024.09.06-18.14.58:281][642]Failed Spawned Dino: Aberrant Cnidaria (Location -204023.961158, -913.425651, 33965.198889)
[2024.09.06-18.15.20:133][918]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location -104061.187388, -126345.985960, 36623.018804)
[2024.09.06-18.15.28:701][ 48]Failed Spawned Dino: Aberrant Manta - Lvl 5 (Location -49473.274327, -120097.658904, 36651.090152)
[2024.09.06-18.15.32:936][112]Failed Spawned Dino: Aberrant Manta - Lvl 5 (Location -37300.829165, -105120.319566, 36934.620691)
[2024.09.06-18.16.08:663][604]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -111570.260169, -135847.025187, 36793.100515)
[2024.09.06-18.16.15:585][715]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 92389.221741, -5626.026551, 11285.595812)
[2024.09.06-18.16.15:589][715]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 92369.002663, -5528.091935, 11289.857209)
[2024.09.06-18.16.16:439][728]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 14652.618991, -61843.055684, 17030.020875)
[2024.09.06-18.16.16:449][728]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 14751.229086, -61826.440956, 17035.714646)
[2024.09.06-18.16.16:460][728]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 14554.008897, -61859.670411, 17023.403927)
[2024.09.06-18.16.17:186][739]Failed Spawned Dino: Aberrant Cnidaria (Location -193714.666143, 76.521451, 35167.569402)
[2024.09.06-18.16.17:636][746]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -61385.315928, -116981.532053, 36592.501835)
[2024.09.06-18.16.22:058][817]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -38839.775109, -112666.034856, 36935.114464)
[2024.09.06-18.16.56:060][401]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -106390.082931, -127371.973878, 36638.792988)
[2024.09.06-18.17.03:733][545]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location -58923.093690, -120816.345981, 36608.965488)
[2024.09.06-18.17.11:255][683]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -44730.725154, -117746.406517, 36759.519043)
[2024.09.06-18.17.25:456][943]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location 2400.810491, -67241.819071, 36880.433854)
[2024.09.06-18.17.46:881][325]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -111010.560973, -134698.613047, 36737.945858)
[2024.09.06-18.17.50:217][386]Failed Spawned Dino: Aberrant Cnidaria (Location -193862.895670, -281.054316, 35102.146241)
[2024.09.06-18.17.50:601][393]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -57692.664888, -119506.848956, 36600.264577)
[2024.09.06-18.17.58:086][528]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -39338.954479, -114948.980502, 36932.315568)
[2024.09.06-18.18.09:680][733]Failed Spawned Dino: Aberrant Cnidaria (Location -202189.613298, -818.595227, 34060.868736)
[2024.09.06-18.18.15:943][849]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location 2736.351409, -74167.738072, 36613.111820)
[2024.09.06-18.18.32:287][153]Failed Spawned Dino: Aberrant Manta - Lvl 120 (Location -106974.809905, -131252.386333, 36682.670022)
[2024.09.06-18.18.39:928][292]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -59342.640352, -121761.542673, 36607.876730)
[2024.09.06-18.18.50:996][496]Failed Spawned Dino: Aberrant Manta - Lvl 5 (Location -38902.570956, -112229.866107, 36931.936029)
[2024.09.06-18.18.58:622][637]Failed Spawned Dino: Aberrant Cnidaria (Location -204464.642632, 11.869538, 33973.267080)
[2024.09.06-18.19.05:100][751]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location 3900.044391, -69273.947548, 36572.387790)
[2024.09.06-18.19.26:309][113]Failed Spawned Dino: Aberrant Manta - Lvl 105 (Location -47828.304596, -118608.738651, 36623.772888)
[2024.09.06-18.19.30:876][180]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -107178.667895, -132190.644193, 36651.401069)
[2024.09.06-18.19.39:675][315]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -45503.383309, -118401.155271, 36740.982564)
[2024.09.06-18.20.16:941][816]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -57120.224511, -121522.145686, 36588.197715)
[2024.09.06-18.20.17:038][817]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -107259.664792, -132699.673105, 36639.893161)
[2024.09.06-18.20.20:767][861]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location 2488.431160, -69726.269363, 36598.317468)
[2024.09.06-18.20.29:118][961]Failed Spawned Dino: Aberrant Cnidaria (Location -198456.303138, -3630.719817, 34004.335175)
[2024.09.06-18.20.29:528][966]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -33105.358989, -106710.847542, 36777.541467)
[2024.09.06-18.21.03:476][410]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -60822.886129, -120431.724298, 36601.120166)
[2024.09.06-18.21.03:557][411]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -104101.231477, -125768.558531, 36683.775141)
[2024.09.06-18.21.18:121][631]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -41134.542793, -107509.334099, 36918.630648)
[2024.09.06-18.21.27:437][770]Failed Spawned Dino: Aberrant Cnidaria (Location -201771.572644, -1096.183816, 34058.227243)
[2024.09.06-18.21.49:852][124]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -53734.270952, -122134.764361, 36590.118149)
[2024.09.06-18.21.54:193][197]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -107095.850447, -128059.930387, 36678.075574)
[2024.09.06-18.21.56:883][244]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location 3348.077866, -66960.466258, 36576.130350)
[2024.09.06-18.22.06:375][413]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -41128.172425, -109937.503473, 36825.992532)
[2024.09.06-18.22.25:928][766]Failed Spawned Dino: Aberrant Cnidaria (Location -193599.859463, -1594.807662, 34973.328808)
[2024.09.06-18.22.33:940][907]Failed Spawned Dino: Aberrant Cnidaria (Location -204691.050539, 507.880297, 33968.726521)
[2024.09.06-18.22.42:886][ 57]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -57950.217754, -118970.559860, 36603.315653)
[2024.09.06-18.22.42:945][ 58]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -110494.090160, -134171.245792, 36710.743854)
[2024.09.06-18.22.45:612][102]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location 4188.747508, -72451.819581, 36835.483302)
[2024.09.06-18.22.51:397][196]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -41374.804217, -105003.346801, 36943.594837)
[2024.09.06-18.23.19:050][678]Failed Spawned Dino: Aberrant Cnidaria (Location -204073.534202, -862.641350, 33969.723326)
[2024.09.06-18.23.28:861][830]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -53125.427141, -119130.157852, 36884.855842)
[2024.09.06-18.23.28:926][831]Failed Spawned Dino: Aberrant Manta - Lvl 20 (Location -104116.702370, -127546.440797, 36621.601055)
[2024.09.06-18.23.31:325][873]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location 4954.717035, -66067.857322, 36558.146551)
[2024.09.06-18.23.40:747][ 31]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -36767.977407, -106265.757437, 36743.116016)
[2024.09.06-18.24.16:893][651]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -55491.635726, -118384.706706, 36594.012007)
[2024.09.06-18.24.16:959][652]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -104966.262188, -128239.849730, 36600.653925)
[2024.09.06-18.24.27:745][848]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -31610.552371, -107349.735139, 36860.037757)
[2024.09.06-18.24.52:762][278]Failed Spawned Dino: Aberrant Salmon | 0.4x (Location 112003.530957, 41579.124090, 18245.626749)
[2024.09.06-18.24.52:764][278]Failed Spawned Dino: Aberrant Salmon | 1.4x (Location 112085.711237, 41636.101291, 18215.203243)
[2024.09.06-18.25.05:109][472]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -52204.425533, -121957.818804, 36582.166270)
[2024.09.06-18.25.05:175][473]Failed Spawned Dino: Aberrant Manta - Lvl 35 (Location -111757.736769, -134749.168851, 36731.056724)
[2024.09.06-18.25.10:328][561]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 134741.784266, 21065.090936, 18178.754938)
[2024.09.06-18.25.10:339][561]Failed Spawned Dino: Aberrant Salmon | 1.1x (Location 134670.380438, 21135.101602, 18189.566284)
[2024.09.06-18.25.13:339][613]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -33122.195850, -105839.997905, 36777.694159)
[2024.09.06-18.25.15:734][656]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location 3996.547941, -66881.621141, 36605.172369)
[2024.09.06-18.25.33:386][950]Failed Spawned Dino: Aberrant Cnidaria (Location -198605.665224, -3845.006891, 33920.195782)
[2024.09.06-18.25.33:563][953]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 197235.630943, -34336.293763, 27839.838142)
[2024.09.06-18.25.33:575][953]Failed Spawned Dino: Aberrant Salmon | 1.4x (Location 197307.148801, -34406.187941, 27839.637938)
[2024.09.06-18.25.55:612][294]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -62180.271260, -116569.650186, 36590.565675)
[2024.09.06-18.25.55:690][295]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -100408.125411, -123468.265803, 36600.067982)
[2024.09.06-18.26.02:627][403]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location 2630.561209, -67103.217877, 36875.305296)
[2024.09.06-18.26.03:881][423]Failed Spawned Dino: Aberrant Cnidaria (Location -205038.209245, 881.285546, 33977.934572)
