[2024.09.08-09.38.17:078][158]Log file open, 09/08/24 11:38:17
[2024.09.08-09.38.17:079][158]Failed Spawned Dino: Piranha | 1.0x (Location 78145.184459, 48205.014996, -14406.257135)
[2024.09.08-10.34.50:871][619]Failed Spawned Dino: Ichthyosaurus - Lvl 20 (Location 36115.680766, 67618.345321, -51947.012267)
[2024.09.08-10.41.14:467][ 36]Failed Spawned Dino: Coelacanth | 0.3x (Location -37923.434108, 84845.772370, -52017.441760)
[2024.09.08-10.41.14:469][ 36]Failed Spawned Dino: Coelacanth | 0.7x (Location -37673.733501, 84858.003747, -52087.347663)
[2024.09.08-10.41.14:480][ 36]Failed Spawned Dino: Coelacanth | 0.6x (Location -38173.134716, 84833.540992, -51941.781748)
[2024.09.08-10.50.01:770][729]Failed Spawned Dino: Ichthyosaurus - Lvl 110 (Location 6815.490339, 38388.255442, -52305.921039)
[2024.09.08-10.50.01:785][729]Failed Spawned Dino: Ichthyosaurus - Lvl 90 (Location 6703.020133, 38611.527591, -52291.879162)
[2024.09.08-10.50.01:796][729]Failed Spawned Dino: Ichthyosaurus - Lvl 140 (Location 6927.960545, 38164.983292, -52319.962915)
[2024.09.08-10.53.44:638][372]Failed Spawned Dino: Piranha | 1.0x (Location -25770.037856, 125866.221225, -14422.223896)
[2024.09.08-11.22.58:935][737]Failed Spawned Dino: Coelacanth | 0.5x (Location 35693.186833, 35688.606354, -52038.586275)
[2024.09.08-11.22.58:944][737]Failed Spawned Dino: Coelacanth | 1.1x (Location 35856.502324, 35499.323364, -51978.112434)
[2024.09.08-11.30.48:356][747]Failed Spawned Dino: Coelacanth | 0.6x (Location -8932.367254, 57936.536609, -52088.107006)
[2024.09.08-11.47.10:755][ 94]Failed Spawned Dino: Ichthyosaurus - Lvl 95 (Location 20195.490597, 28369.836191, -52268.946837)
[2024.09.08-11.55.42:920][421]Failed Spawned Dino: Coelacanth | 2.6x (Location 27903.362031, 145274.996766, -51927.306623)
[2024.09.08-12.01.06:935][113]Failed Spawned Dino: Piranha | 0.8x (Location 107800.693767, 35135.603898, -14346.184440)
[2024.09.08-12.20.18:161][488]Failed Spawned Dino: Piranha | 1.0x (Location 115333.381828, 29471.910858, -14316.213018)
[2024.09.08-12.25.48:034][358]Failed Spawned Dino: Piranha | 1.2x (Location 59317.062905, 53325.426983, -14452.834700)
[2024.09.08-12.30.22:792][578]Failed Spawned Dino: Piranha | 0.9x (Location -42857.747221, 122224.738537, -14332.031228)
[2024.09.08-12.31.54:494][310]Failed Spawned Dino: Piranha | 0.9x (Location -60812.786049, 96035.625823, -14415.738191)
[2024.09.08-12.36.51:735][199]Failed Spawned Dino: Coelacanth | 0.6x (Location -21296.832736, 152073.687473, -51939.381848)
[2024.09.08-12.48.33:782][ 59]Failed Spawned Dino: Piranha | 1.0x (Location 41652.572213, 58512.242248, -14355.567203)
[2024.09.08-13.04.21:187][398]Failed Spawned Dino: Coelacanth | 1.3x (Location 35690.444342, 138696.292287, -51918.005053)
[2024.09.08-13.06.47:729][770]Failed Spawned Dino: Manta - Lvl 105 (Location 5221.904358, 63115.333484, -52231.052747)
[2024.09.08-13.36.17:461][685]Failed Spawned Dino: Coelacanth | 1.2x (Location 35281.271076, 139143.303551, -51915.217501)
[2024.09.08-13.36.17:468][685]Failed Spawned Dino: Coelacanth | 0.7x (Location 35159.798914, 138924.798370, -51988.770408)
[2024.09.08-13.49.43:920][824]Failed Spawned Dino: Piranha | 1.1x (Location 68675.026572, 33119.940861, -14445.294270)
[2024.09.08-13.54.28:372][337]Failed Spawned Dino: Coelacanth | 1.4x (Location -9074.060814, 52575.673860, -51951.078228)
[2024.09.08-13.56.12:782][469]Failed Spawned Dino: Piranha | 0.9x (Location 52811.362935, 74140.595962, -14420.446191)
[2024.09.08-14.17.03:365][973]Failed Spawned Dino: Ichthyosaurus - Lvl 130 (Location -6672.092108, 42336.819306, -51825.516988)
[2024.09.08-14.17.03:378][973]Failed Spawned Dino: Ichthyosaurus - Lvl 135 (Location -6427.120745, 42286.929113, -51808.470236)
[2024.09.08-14.17.03:390][973]Failed Spawned Dino: Ichthyosaurus - Lvl 10 (Location -6917.063471, 42386.709500, -51842.563741)
[2024.09.08-14.28.58:451][431]Failed Spawned Dino: Piranha | 1.0x (Location -60581.210248, 99284.741318, -14415.738191)
[2024.09.08-14.32.09:366][157]Failed Spawned Dino: Piranha | 0.9x (Location -61928.952503, 105407.206302, -14415.738191)
[2024.09.08-15.03.31:781][580]Failed Spawned Dino: Piranha | 1.0x (Location -44526.243641, 92208.520782, -14431.467164)
[2024.09.08-15.06.56:696][709]Failed Spawned Dino: Piranha | 0.8x (Location 76850.661278, 33892.605675, -14440.490401)
[2024.09.08-15.20.43:248][495]Failed Spawned Dino: Piranha | 1.0x (Location 56706.439002, 51268.509612, -14327.716205)
[2024.09.08-15.40.23:773][912]Failed Spawned Dino: Piranha | 0.9x (Location -60976.758218, 89741.124491, -14417.150170)
[2024.09.08-15.57.17:677][245]Failed Spawned Dino: Manta - Lvl 135 (Location 5080.308474, 62784.067894, -52181.217152)
[2024.09.08-15.57.17:688][245]Failed Spawned Dino: Manta - Lvl 100 (Location 4896.100098, 62615.049333, -52147.874680)
[2024.09.08-15.57.17:700][245]Failed Spawned Dino: Manta - Lvl 80 (Location 5264.516850, 62953.086456, -52228.647759)
[2024.09.08-16.03.30:501][410]Failed Spawned Dino: Piranha | 0.9x (Location 54157.666875, 51478.275529, -14395.003699)
[2024.09.08-16.05.13:455][498]Failed Spawned Dino: Piranha | 1.0x (Location -40132.056682, 109103.018275, -14408.465731)
[2024.09.08-16.31.28:316][608]Failed Spawned Dino: Ichthyosaurus - Lvl 20 (Location -36067.251392, 90831.446706, -52003.407906)
[2024.09.08-16.31.28:324][608]Failed Spawned Dino: Ichthyosaurus - Lvl 80 (Location -36297.202996, 90733.353588, -51960.380426)
[2024.09.08-16.31.28:336][608]Failed Spawned Dino: Ichthyosaurus - Lvl 130 (Location -35837.299788, 90929.539825, -52046.435385)
[2024.09.08-16.43.50:543][771]Failed Spawned Dino: Coelacanth | 1.1x (Location 27460.070729, 31226.006345, -51906.275646)
[2024.09.08-16.43.50:551][771]Failed Spawned Dino: Coelacanth | 0.4x (Location 27451.611215, 31475.863177, -51960.101839)
[2024.09.08-16.56.18:552][137]Failed Spawned Dino: Coelacanth | 1.3x (Location 36941.795944, 75414.143900, -51925.464053)
[2024.09.08-16.56.18:557][137]Failed Spawned Dino: Coelacanth | 1.3x (Location 36735.481862, 75555.333487, -51989.922864)
[2024.09.08-17.02.22:723][ 38]Failed Spawned Dino: Piranha | 1.1x (Location -61206.895703, 101886.448807, -14415.738191)
[2024.09.08-17.21.42:587][777]Failed Spawned Dino: Ichthyosaurus - Lvl 55 (Location 7652.188722, 40113.134432, -52381.911177)
[2024.09.08-17.44.31:620][785]Failed Spawned Dino: Piranha | 1.0x (Location -61691.623441, 78486.175000, -14415.768425)
[2024.09.08-18.23.14:770][289]Failed Spawned Dino: Piranha | 1.0x (Location 100631.912142, 24626.154579, -14404.420712)
[2024.09.08-18.24.06:228][830]Failed Spawned Dino: Piranha | 1.0x (Location 103361.917627, 26461.233514, -14301.763913)
[2024.09.08-18.28.39:373][989]Failed Spawned Dino: Coelacanth | 0.9x (Location -8647.662488, 51274.403870, -51967.105639)
[2024.09.08-18.54.38:726][563]Failed Spawned Dino: Piranha | 1.0x (Location 76590.317764, 33462.510386, -14450.598050)
[2024.09.08-19.50.24:311][708]Failed Spawned Dino: Ichthyosaurus - Lvl 95 (Location -1924.791038, 38399.678137, -51838.091894)
[2024.09.08-20.16.59:866][464]Failed Spawned Dino: Coelacanth | 1.1x (Location 2289.595938, 35943.720644, -52077.652888)
[2024.09.08-20.16.59:878][464]Failed Spawned Dino: Coelacanth | 3.5x (Location 2385.601622, 36174.551553, -52068.753121)
[2024.09.08-20.16.59:890][464]Failed Spawned Dino: Coelacanth | 1.2x (Location 2193.590253, 35712.889735, -52086.552655)
[2024.09.08-20.31.30:275][514]Failed Spawned Dino: Piranha | 0.9x (Location -21630.439745, 119025.423658, -14359.731910)
[2024.09.08-21.10.39:153][767]Failed Spawned Dino: Piranha | 0.9x (Location -60792.648229, 108814.778034, -14415.738191)
[2024.09.08-21.19.13:494][154]Failed Spawned Dino: Piranha | 1.0x (Location 87187.568033, 17234.530635, -14349.384090)
[2024.09.08-21.24.55:976][406]Failed Spawned Dino: Piranha | 1.0x (Location 82297.145409, 19991.676231, -14461.141430)
[2024.09.08-21.26.57:653][ 38]Failed Spawned Dino: Coelacanth | 1.1x (Location 8555.825991, 49026.911755, -51936.915121)
[2024.09.08-21.26.57:668][ 38]Failed Spawned Dino: Coelacanth | 1.3x (Location 8802.777440, 48987.988983, -51956.035364)
[2024.09.08-22.07.56:852][614]Failed Spawned Dino: Coelacanth | 1.3x (Location 36448.729658, 75441.484567, -52077.649637)
[2024.09.08-22.10.17:557][833]Failed Spawned Dino: Coelacanth | 0.4x (Location 9651.084536, 51239.763479, -52070.111222)
[2024.09.08-22.11.02:893][192]Failed Spawned Dino: Manta - Lvl 10 (Location 1787.576908, 35920.875254, -51980.752690)
[2024.09.08-22.11.02:902][192]Failed Spawned Dino: Manta - Lvl 95 (Location 1538.481415, 35942.122255, -51981.932069)
[2024.09.08-22.18.07:235][879]Failed Spawned Dino: Manta - Lvl 140 (Location -14315.657776, 152104.648864, -52098.760828)
