[2024.09.06-00.04.11:128][134]Log file open, 09/06/24 02:04:11
[2024.09.06-00.04.11:128][134]Failed Spawned Dino: Aberrant Manta - Lvl 120 (Location -7568.658908, -176593.008232, 36943.646251)
[2024.09.06-00.04.13:515][205]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -105323.469362, -127764.525171, 36608.112599)
[2024.09.06-00.04.15:679][270]Failed Spawned Dino: Aberrant Manta - Lvl 45 (Location -143302.752423, -116128.214069, 36719.157079)
[2024.09.06-00.04.17:580][327]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -44847.203868, -159766.168868, 36950.476741)
[2024.09.06-00.04.17:613][328]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -37512.423490, -107695.200528, 36803.006359)
[2024.09.06-00.04.17:646][329]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -24054.099084, -101687.556878, 36698.908281)
[2024.09.06-00.04.19:806][394]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location -62313.142930, -116652.919082, 36587.277640)
[2024.09.06-00.04.19:871][396]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -86041.616639, -103693.179057, 36946.640651)
[2024.09.06-00.04.56:250][487]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -10919.574556, -177449.980203, 36938.027345)
[2024.09.06-00.04.58:649][559]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -102387.095087, -125582.195502, 36670.643056)
[2024.09.06-00.05.00:822][624]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -135260.827440, -119971.949353, 36639.894405)
[2024.09.06-00.05.02:759][682]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -33485.317477, -105240.761748, 36786.244582)
[2024.09.06-00.05.02:789][683]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -29587.387372, -104313.014842, 36736.215271)
[2024.09.06-00.05.04:956][748]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -56124.141792, -123116.143562, 36939.999675)
[2024.09.06-00.05.05:023][750]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -92996.905565, -111749.410151, 36537.574355)
[2024.09.06-00.05.14:747][ 41]Failed Spawned Dino: Aberrant Manta - Lvl 20 (Location 3182.124755, -70154.937562, 36596.787319)
[2024.09.06-00.05.15:644][ 68]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -43386.070082, -158761.989678, 36858.342010)
[2024.09.06-00.05.42:073][861]Failed Spawned Dino: Aberrant Manta - Lvl 20 (Location -12588.206541, -179773.569520, 36874.614467)
[2024.09.06-00.05.46:581][996]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -108286.235605, -132728.915813, 36684.453592)
[2024.09.06-00.05.48:584][ 56]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -23302.827607, -103802.223154, 36929.197972)
[2024.09.06-00.05.48:751][ 61]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -144158.683053, -113739.696136, 36726.535878)
