[2024.09.07-06.15.52:847][ 13]Log file open, 09/07/24 08:15:52
[2024.09.07-06.15.52:847][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 19464.669314, -55095.826467, 17055.696108)
[2024.09.07-06.15.52:858][ 13]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 19419.762570, -55006.476681, 17065.785844)
[2024.09.07-06.15.53:044][ 14]Failed Spawned Dino: Aberrant Manta - Lvl 120 (Location -165892.829123, -68202.511723, 39577.231754)
[2024.09.07-06.15.53:046][ 14]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -21069.490692, -102036.567708, 36937.982669)
[2024.09.07-06.15.53:056][ 14]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -38801.552014, -108915.481570, 36774.340579)
[2024.09.07-06.15.53:067][ 14]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -13718.071427, -176636.130057, 36882.483570)
[2024.09.07-06.15.53:187][ 16]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -43161.735022, -159235.331713, 36789.861167)
[2024.09.07-06.16.11:184][466]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -48033.527665, -119339.320870, 36680.316977)
[2024.09.07-06.16.14:413][562]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location -128885.847810, -124341.297948, 36783.776331)
[2024.09.07-06.16.27:622][929]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -16408.128216, -178025.226795, 36892.263948)
[2024.09.07-06.16.27:844][935]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -89383.431761, -113513.909898, 36889.797995)
[2024.09.07-06.16.27:942][938]Failed Spawned Dino: Aberrant Manta - Lvl 150 (Location -141393.859014, -116528.696425, 36688.051151)
[2024.09.07-06.16.45:303][300]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -1187.630463, -182472.362081, 36756.336217)
[2024.09.07-06.16.45:527][303]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -36164.127764, -161721.492806, 36932.268490)
[2024.09.07-06.16.45:580][304]Failed Spawned Dino: Aberrant Manta - Lvl 150 (Location -38839.775109, -105936.648836, 36897.505776)
[2024.09.07-06.16.45:639][305]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -22109.257710, -103272.041975, 36903.458555)
