[2024.09.06-22.14.01:590][ 17]Log file open, 09/07/24 00:14:01
[2024.09.06-22.14.01:590][ 17]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -24684.784600, -98670.673092, 36704.942653)
[2024.09.06-22.14.13:174][229]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -138001.534198, -117086.298134, 36903.964121)
[2024.09.06-22.14.23:581][298]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -6323.214239, -176869.083358, 36938.679538)
[2024.09.06-22.14.23:810][301]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -37663.484646, -165481.463079, 36930.238739)
[2024.09.06-22.14.28:406][379]Failed Spawned Dino: Aberrant Manta - Lvl 35 (Location -39035.442626, -115798.022379, 36936.974324)
[2024.09.06-22.14.33:800][464]Failed Spawned Dino: Aberrant Manta - Lvl 20 (Location -123772.106629, -132481.788716, 36879.155950)
[2024.09.06-22.14.38:688][542]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -112330.177145, -133506.088789, 36651.310859)
[2024.09.06-22.14.52:308][772]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -22318.120989, -96328.786648, 36668.326875)
[2024.09.06-22.14.52:675][778]Failed Spawned Dino: Aberrant Manta - Lvl 150 (Location -161535.820178, -74307.879557, 39776.820664)
[2024.09.06-22.15.02:022][926]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -23064.911022, -175472.154076, 36809.846132)
[2024.09.06-22.15.02:494][933]Failed Spawned Dino: Aberrant Manta - Lvl 35 (Location -141760.166269, -117124.958796, 36687.718750)
[2024.09.06-22.15.12:475][ 79]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -6673.140104, -180909.590404, 36752.402774)
[2024.09.06-22.15.18:668][160]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -45021.484262, -157172.948595, 36932.345352)
[2024.09.06-22.15.18:780][161]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -44446.780319, -115029.275129, 36779.952621)
[2024.09.06-22.15.19:065][164]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -124437.375030, -130664.750156, 36733.950801)
[2024.09.06-22.15.33:959][310]Failed Spawned Dino: Aberrant Cnidaria (Location -204825.119475, 428.498700, 33972.157473)
[2024.09.06-22.15.34:873][321]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -110649.259006, -134885.967337, 36756.822518)
[2024.09.06-22.15.40:378][389]Failed Spawned Dino: Aberrant Cnidaria (Location -194076.647669, -441.308425, 35075.930074)
[2024.09.06-22.15.41:545][402]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -22989.305176, -101431.858082, 36706.355392)
[2024.09.06-22.15.42:062][408]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -164527.253519, -60027.326308, 42935.530334)
[2024.09.06-22.15.48:245][487]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -143825.397161, -95440.185707, 36762.267789)
[2024.09.06-22.15.54:253][564]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -141266.902685, -118432.968444, 36940.683909)
[2024.09.06-22.16.00:513][634]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -10510.948524, -182856.487648, 36926.953392)
[2024.09.06-22.16.07:176][719]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -44667.918186, -160090.321160, 36948.867011)
[2024.09.06-22.16.07:565][723]Failed Spawned Dino: Aberrant Manta - Lvl 120 (Location -128593.257032, -123392.135724, 36756.992598)
[2024.09.06-22.16.14:295][803]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -41818.468160, -109516.204619, 36813.800666)
[2024.09.06-22.16.20:954][885]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -111698.126550, -134396.764630, 36744.136186)
[2024.09.06-22.16.27:648][967]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location -17272.180055, -91518.981185, 36700.106728)
[2024.09.06-22.16.28:200][973]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -164435.790573, -67577.006644, 39529.774815)
[2024.09.06-22.16.35:751][ 55]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -144151.660771, -100524.522416, 36526.513969)
[2024.09.06-22.16.42:582][135]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location -144115.908806, -117087.289395, 36933.289621)
[2024.09.06-22.16.42:733][137]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -149049.732159, -87853.056017, 36912.373053)
