[2024.09.14-08.28.04:713][569]Log file open, 09/14/24 10:28:04
[2024.09.14-08.28.04:714][569]Failed Spawned Dino: Piranha | 0.9x (Location -27073.231486, -192284.462787, -10102.826961)
[2024.09.14-08.35.20:622][585]Failed Spawned Dino: Coelacanth | 1.1x (Location -158048.900253, 34496.704852, -53370.020968)
[2024.09.14-08.35.20:633][585]Failed Spawned Dino: Coelacanth | 0.5x (Location -158150.325435, 34158.011875, -53373.660033)
[2024.09.14-08.35.47:817][397]Failed Spawned Dino: Piranha | 0.9x (Location -122447.363520, -28196.109830, -14418.539812)
[2024.09.14-08.35.54:608][600]Failed Spawned Dino: Piranha | 0.9x (Location 116981.741832, -110674.822880, -14346.225037)
[2024.09.14-08.37.58:643][308]Failed Spawned Dino: Piranha | 1.1x (Location -61069.231794, -38634.630150, -14296.254879)
[2024.09.14-08.38.03:060][440]Failed Spawned Dino: Manta - Lvl 10 (Location -214009.672859, 21195.338509, -53456.192051)
[2024.09.14-08.38.03:069][440]Failed Spawned Dino: Manta - Lvl 100 (Location -213764.914141, 21144.415331, -53461.980283)
[2024.09.14-08.38.03:079][440]Failed Spawned Dino: Manta - Lvl 85 (Location -214254.431577, 21246.261686, -53450.403819)
[2024.09.14-08.38.23:100][ 40]Failed Spawned Dino: Ichthyosaurus - Lvl 75 (Location -267609.894224, 139570.818249, -53484.917388)
[2024.09.14-08.38.23:114][ 40]Failed Spawned Dino: Ichthyosaurus - Lvl 145 (Location -267715.136490, 139797.586997, -53443.029703)
[2024.09.14-08.40.51:675][468]Failed Spawned Dino: Xiphactinus - Lvl 35 (Location -265691.239933, 140577.966226, -53602.526217)
[2024.09.14-08.41.01:210][753]Failed Spawned Dino: Manta - Lvl 30 (Location -203293.457872, 17576.273318, -53620.109969)
[2024.09.14-08.41.28:416][567]Failed Spawned Dino: Coelacanth | 0.6x (Location -234220.511880, 19997.965670, -53383.426159)
[2024.09.14-08.42.19:046][ 83]Failed Spawned Dino: Manta - Lvl 60 (Location -175922.437156, 60095.382680, -53372.808709)
[2024.09.14-08.42.19:059][ 83]Failed Spawned Dino: Manta - Lvl 110 (Location -175724.574602, 60248.191089, -53377.881941)
[2024.09.14-08.42.19:069][ 83]Failed Spawned Dino: Manta - Lvl 140 (Location -175679.520457, 60598.862052, -53377.149850)
