[2024.09.06-00.49.48:028][ 41]Log file open, 09/06/24 02:49:48
[2024.09.06-00.49.48:028][ 41]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location -53008.026809, -118968.577337, 36912.312111)
[2024.09.06-00.49.54:030][164]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -40957.987268, -109999.954903, 36811.378111)
[2024.09.06-00.49.58:775][306]Failed Spawned Dino: Aberrant Manta - Lvl 120 (Location -105177.401486, -127483.493736, 36603.753582)
[2024.09.06-00.50.01:072][375]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -143830.598892, -110535.840195, 36711.257851)
[2024.09.06-00.50.12:073][704]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -4991.311468, -179032.578085, 36766.450039)
[2024.09.06-00.50.15:631][801]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 133864.857401, 16244.998065, 18175.929302)
[2024.09.06-00.50.20:055][916]Failed Spawned Dino: Aberrant Manta - Lvl 5 (Location -86611.782328, -108005.299583, 36662.917534)
[2024.09.06-00.50.26:879][114]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -38981.281157, -164773.680366, 36940.855298)
[2024.09.06-00.50.36:130][389]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -56728.889922, -121861.167873, 36604.413671)
[2024.09.06-00.50.37:609][432]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location 3553.197988, -73532.827523, 36702.209239)
[2024.09.06-00.50.38:523][459]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -27633.899611, -101751.178477, 36701.757560)
[2024.09.06-00.50.40:911][528]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -40191.699480, -108874.343237, 36813.527401)
[2024.09.06-00.50.48:212][742]Failed Spawned Dino: Aberrant Manta - Lvl 105 (Location -107709.244521, -132066.237448, 36680.454195)
[2024.09.06-00.50.48:250][743]Failed Spawned Dino: Aberrant Manta - Lvl 45 (Location -144379.832485, -116627.825510, 36948.782946)
[2024.09.06-00.50.57:398][ 13]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location -13991.095631, -181430.018342, 36901.891147)
[2024.09.06-00.51.07:296][306]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -89026.680502, -118254.764225, 36642.654419)
[2024.09.06-00.51.11:904][443]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -34812.657976, -165165.240882, 36643.602791)
[2024.09.06-00.51.18:954][653]Failed Spawned Dino: Aberrant Cnidaria (Location -194130.841230, -204.707419, 35097.288306)
[2024.09.06-00.51.21:789][738]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -53595.028470, -122008.374608, 36586.316827)
[2024.09.06-00.51.26:490][879]Failed Spawned Dino: Aberrant Manta - Lvl 150 (Location -34237.499007, -105951.517763, 36765.385964)
[2024.09.06-00.51.26:528][880]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -24001.769286, -100276.365389, 36710.172873)
[2024.09.06-00.51.33:605][ 92]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -144803.929854, -111604.453339, 36681.507766)
[2024.09.06-00.51.35:876][160]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -105695.691515, -128203.667706, 36639.545792)
[2024.09.06-00.51.42:911][370]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -5707.544145, -176822.988716, 36946.455704)
[2024.09.06-00.51.54:859][720]Failed Spawned Dino: Aberrant Manta - Lvl 105 (Location -93216.235336, -115593.144951, 36692.946163)
[2024.09.06-00.51.57:069][784]Failed Spawned Dino: Aberrant Manta - Lvl 5 (Location -45161.181770, -156000.250056, 36916.473640)
[2024.09.06-00.52.03:976][987]Failed Spawned Dino: Aberrant Cnidaria (Location -193807.758002, -444.074525, 35083.824168)
[2024.09.06-00.52.09:047][138]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -57239.899975, -120136.815197, 36603.303323)
[2024.09.06-00.52.12:698][247]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location 2316.824517, -74242.433169, 36529.736043)
[2024.09.06-00.52.13:659][275]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -41187.782644, -112850.910991, 36745.981479)
[2024.09.06-00.52.13:698][276]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -23938.063831, -102926.666564, 36703.156514)
