[2024.09.05-23.43.37:187][ 13]Log file open, 09/06/24 01:43:37
[2024.09.05-23.43.37:187][ 13]Failed Spawned Dino: Aberrant Salmon | 1.1x (Location 151687.363155, 14620.486622, -2893.476771)
[2024.09.05-23.43.37:199][ 13]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 151780.599782, 14656.638126, -2908.908064)
[2024.09.05-23.43.37:239][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 157517.955070, 11013.644088, -1594.167461)
[2024.09.05-23.43.37:244][ 13]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 157420.060383, 10993.232563, -1598.627925)
[2024.09.05-23.43.37:255][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 157615.849756, 11034.055613, -1594.953536)
[2024.09.05-23.43.37:494][ 13]Failed Spawned Dino: Aberrant Salmon | 0.8x (Location 170557.527311, 33599.885337, -9086.228319)
[2024.09.05-23.43.37:497][ 13]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 170644.264558, 33550.119384, -9096.263819)
[2024.09.05-23.43.37:508][ 13]Failed Spawned Dino: Aberrant Salmon | 0.7x (Location 170470.790064, 33649.651289, -9074.158905)
[2024.09.05-23.43.37:528][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 169739.343302, 32927.535757, -9150.647900)
[2024.09.05-23.43.37:530][ 13]Failed Spawned Dino: Aberrant Salmon | 0.4x (Location 169838.932265, 32936.593257, -9143.768688)
[2024.09.05-23.43.37:548][ 13]Failed Spawned Dino: Aberrant Salmon | 0.9x (Location 170632.417808, 32933.260672, -9123.270581)
[2024.09.05-23.43.37:552][ 13]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 170825.476261, 32881.026261, -9054.447416)
[2024.09.05-23.43.37:568][ 13]Failed Spawned Dino: Aberrant Salmon | 0.7x (Location 170173.219310, 32116.108780, -9139.692470)
[2024.09.05-23.43.37:574][ 13]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 170196.889795, 32213.266941, -9143.597746)
[2024.09.05-23.43.37:588][ 13]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 169896.764266, 31874.643161, -9149.654262)
[2024.09.05-23.43.37:596][ 13]Failed Spawned Dino: Aberrant Salmon | 1.1x (Location 169799.278949, 31852.358345, -9158.330037)
[2024.09.05-23.43.37:607][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 169994.249582, 31896.927977, -9142.078326)
[2024.09.05-23.43.37:622][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 171504.342143, 33985.889144, -9106.575080)
[2024.09.05-23.43.37:629][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 171455.238763, 33898.775092, -9115.631865)
[2024.09.05-23.43.37:640][ 13]Failed Spawned Dino: Aberrant Salmon | 0.7x (Location 171014.118504, 34099.369506, -9142.347772)
[2024.09.05-23.43.37:651][ 13]Failed Spawned Dino: Aberrant Salmon | 0.9x (Location 170998.577810, 34198.154560, -9143.649831)
[2024.09.05-23.43.37:662][ 13]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 171029.659198, 34000.584453, -9138.636168)
[2024.09.05-23.43.37:684][ 13]Failed Spawned Dino: Aberrant Salmon | 0.8x (Location 171193.109870, 33572.581799, -9129.537335)
[2024.09.05-23.43.37:695][ 13]Failed Spawned Dino: Aberrant Salmon | 0.8x (Location 171159.171773, 33478.516899, -9135.525514)
[2024.09.05-23.43.37:706][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 171227.047967, 33666.646700, -9128.535860)
[2024.09.05-23.43.37:721][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 168686.962132, 32300.582892, -9055.775570)
[2024.09.05-23.43.37:923][ 13]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 173977.276447, 24195.111531, -9220.099966)
[2024.09.05-23.43.37:927][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 174002.508727, 24098.347219, -9215.975509)
[2024.09.05-23.43.37:938][ 13]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 173952.044167, 24291.875843, -9232.662823)
[2024.09.05-23.43.38:007][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 178954.704549, 6832.587721, -9081.896836)
[2024.09.05-23.43.38:015][ 13]Failed Spawned Dino: Aberrant Salmon | 1.4x (Location 178935.274863, 6734.493443, -9081.694224)
[2024.09.05-23.43.38:026][ 13]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 178974.134234, 6930.681999, -9081.558658)
[2024.09.05-23.43.38:043][ 13]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 179002.324424, 7036.754182, -9110.487743)
[2024.09.05-23.43.38:050][ 13]Failed Spawned Dino: Aberrant Salmon | 0.9x (Location 179226.564105, 6902.104910, -9076.882937)
[2024.09.05-23.43.38:059][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 179325.361790, 6917.565097, -9075.058692)
[2024.09.05-23.43.38:070][ 13]Failed Spawned Dino: Aberrant Salmon | 1.6x (Location 178819.778099, 6794.118351, -9083.658008)
[2024.09.05-23.43.38:081][ 13]Failed Spawned Dino: Aberrant Salmon | 1.1x (Location 178835.839490, 6695.416620, -9082.174791)
[2024.09.05-23.43.38:092][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 178803.716708, 6892.820082, -9096.023922)
[2024.09.05-23.43.38:104][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 179585.792752, 6652.097814, -9069.806079)
[2024.09.05-23.43.38:114][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 179505.404691, 6711.576883, -9071.561060)
[2024.09.05-23.43.38:125][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 179666.180813, 6592.618745, -9069.167183)
