[2024.09.07-09.17.41:157][ 14]Log file open, 09/07/24 11:17:41
[2024.09.07-09.17.41:157][ 14]Failed Spawned Dino: Coelacanth | 1.0x (Location -270085.180509, 137926.763868, -53500.075715)
[2024.09.07-09.17.41:255][ 14]Failed Spawned Dino: Megalodon - Lvl 30 (Location -273621.209297, 132824.273332, -53961.660500)
[2024.09.07-09.17.41:576][ 14]Failed Spawned Dino: Coelacanth | 0.6x (Location -281545.252229, 54170.710320, -53493.630730)
[2024.09.07-09.17.41:588][ 14]Failed Spawned Dino: Coelacanth | 0.7x (Location -281791.302394, 54214.974483, -53436.307116)
[2024.09.07-09.17.41:600][ 14]Failed Spawned Dino: Coelacanth | 0.7x (Location -281589.516392, 53924.660154, -53475.306808)
[2024.09.07-09.17.41:643][ 14]Failed Spawned Dino: Manta - Lvl 40 (Location -284106.547945, 45624.046551, -53389.040891)
[2024.09.07-09.17.41:661][ 14]Failed Spawned Dino: Manta - Lvl 140 (Location -284222.774790, 44630.823857, -53377.802088)
[2024.09.07-09.17.41:667][ 14]Failed Spawned Dino: Manta - Lvl 40 (Location -283858.242272, 45594.989840, -53431.842642)
[2024.09.07-09.17.41:678][ 14]Failed Spawned Dino: Manta - Lvl 20 (Location -283974.469117, 44601.767145, -53420.603838)
[2024.09.07-09.17.41:701][ 14]Failed Spawned Dino: Manta - Lvl 145 (Location -283609.936598, 45565.933128, -53474.644393)
[2024.09.07-09.17.41:712][ 14]Failed Spawned Dino: Manta - Lvl 80 (Location -283697.106732, 44821.016108, -53466.215290)
[2024.09.07-09.17.55:812][ 14]Failed Spawned Dino: Piranha | 1.0x (Location 226411.163587, 140850.532188, -14450.325401)
[2024.09.07-09.17.57:450][ 14]Failed Spawned Dino: Piranha | 0.8x (Location -140159.320025, -9875.501784, -14370.233826)
[2024.09.07-09.18.07:821][ 14]Failed Spawned Dino: Piranha | 1.0x (Location -20985.746702, -197456.894253, -10103.702904)
[2024.09.07-09.18.13:280][ 14]Failed Spawned Dino: Piranha | 0.8x (Location 91614.508317, 148598.189521, -14439.171980)
[2024.09.07-09.18.14:072][ 14]Failed Spawned Dino: Piranha | 0.9x (Location 131727.431716, 18145.202266, -14326.289751)
[2024.09.07-09.18.16:294][ 14]Failed Spawned Dino: Piranha | 0.9x (Location -36203.897956, 70708.876244, -14425.572184)
[2024.09.07-09.18.16:322][ 14]Failed Spawned Dino: Piranha | 0.9x (Location -16944.264929, 50811.248206, -14391.975148)
[2024.09.07-09.18.16:692][ 14]Failed Spawned Dino: Megalodon - Lvl 100 (Location -153598.861698, 16592.302043, -53376.702878)
[2024.09.07-09.18.16:751][ 14]Failed Spawned Dino: Megalodon - Lvl 55 (Location -161613.399758, 35220.714430, -53977.395728)
[2024.09.07-09.18.16:760][ 14]Failed Spawned Dino: Manta - Lvl 20 (Location -159198.953057, 29105.678942, -53614.339329)
[2024.09.07-09.18.16:770][ 14]Failed Spawned Dino: Manta - Lvl 25 (Location -159096.272067, 29333.618878, -53589.673066)
[2024.09.07-09.18.16:781][ 14]Failed Spawned Dino: Manta - Lvl 105 (Location -158184.512324, 28922.894918, -53438.538817)
[2024.09.07-09.18.16:792][ 14]Failed Spawned Dino: Manta - Lvl 120 (Location -158492.555294, 28239.075111, -53512.537605)
[2024.09.07-09.18.16:803][ 14]Failed Spawned Dino: Manta - Lvl 35 (Location -158993.591077, 29561.558814, -53565.006803)
[2024.09.07-09.18.16:815][ 14]Failed Spawned Dino: Manta - Lvl 150 (Location -158309.771270, 29253.515844, -53451.656116)
[2024.09.07-09.18.18:378][ 15]Failed Spawned Dino: Ichthyosaurus - Lvl 40 (Location -211790.907353, 25339.508516, -53509.747551)
[2024.09.07-09.18.18:388][ 15]Failed Spawned Dino: Ichthyosaurus - Lvl 15 (Location -211934.058665, 25134.550711, -53509.976971)
[2024.09.07-09.18.18:499][ 15]Failed Spawned Dino: Xiphactinus - Lvl 65 (Location -224945.729892, 24390.701908, -53626.609469)
[2024.09.07-09.18.18:515][ 15]Failed Spawned Dino: Xiphactinus - Lvl 120 (Location -212924.600849, 24130.417632, -53469.617177)
[2024.09.07-09.18.18:530][ 15]Failed Spawned Dino: Xiphactinus - Lvl 105 (Location -213674.122769, 23017.665687, -53436.449960)
[2024.09.07-09.18.18:540][ 15]Failed Spawned Dino: Ichthyosaurus - Lvl 75 (Location -210911.464765, 23799.310208, -53558.164526)
[2024.09.07-09.18.18:551][ 15]Failed Spawned Dino: Ichthyosaurus - Lvl 65 (Location -210772.528583, 23591.471960, -53552.568541)
[2024.09.07-09.18.19:713][ 15]Failed Spawned Dino: Piranha | 1.0x (Location 46448.061807, 69454.804986, -14417.150305)
[2024.09.07-09.18.53:047][ 15]Failed Spawned Dino: Coelacanth | 0.8x (Location -28140.496469, 122682.701914, -52072.658333)
[2024.09.07-09.18.53:055][ 15]Failed Spawned Dino: Coelacanth | 0.8x (Location -28367.350912, 122577.644491, -52018.022548)
