[2024.09.06-00.18.46:381][130]Log file open, 09/06/24 02:18:46
[2024.09.06-00.18.46:382][130]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -92818.074908, -113586.770061, 36695.898372)
[2024.09.06-00.18.48:242][186]Failed Spawned Dino: Aberrant Manta - Lvl 120 (Location -10063.643926, -177353.824904, 36946.455704)
[2024.09.06-00.18.48:441][192]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -101195.799878, -124995.351086, 36730.191464)
[2024.09.06-00.18.48:474][193]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -143634.931820, -115813.974395, 36706.911918)
[2024.09.06-00.18.49:543][225]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location 1295.666140, -68607.913670, 36901.262109)
[2024.09.06-00.18.50:306][248]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -34425.431077, -107379.473962, 36772.061863)
[2024.09.06-00.18.54:359][369]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -28496.656078, -105686.639156, 36883.915793)
[2024.09.06-00.18.58:403][490]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -56325.269179, -116032.370797, 36912.696469)
[2024.09.06-00.19.02:520][607]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -39806.269112, -161195.116329, 36760.073748)
[2024.09.06-00.19.31:956][470]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -94478.516421, -118046.592953, 36577.201390)
[2024.09.06-00.19.35:272][568]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location 3360.999210, -75150.811452, 36855.550879)
[2024.09.06-00.19.36:047][591]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -12595.032379, -175873.330861, 36926.588858)
[2024.09.06-00.19.36:117][593]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -41008.496517, -116898.852016, 36949.277708)
[2024.09.06-00.19.36:292][598]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -144130.470535, -116810.223491, 36926.927714)
[2024.09.06-00.19.40:380][720]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location -15371.477562, -91652.283415, 36929.003111)
[2024.09.06-00.19.42:583][786]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -110166.916497, -134587.588336, 36740.191943)
[2024.09.06-00.19.44:622][847]Failed Spawned Dino: Aberrant Manta - Lvl 105 (Location -58202.764888, -119306.607778, 36609.038173)
[2024.09.06-00.19.48:891][974]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -44097.752496, -158150.858379, 36925.203222)
[2024.09.06-00.20.05:212][426]Failed Spawned Dino: Aberrant Cnidaria (Location -197347.510443, -3901.252737, 33916.287711)
[2024.09.06-00.20.17:245][572]Failed Spawned Dino: Aberrant Manta - Lvl 105 (Location -91757.831263, -117597.041686, 36696.863170)
[2024.09.06-00.20.23:365][634]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location -4155.402439, -184227.939988, 36938.027345)
[2024.09.06-00.20.24:079][641]Failed Spawned Dino: Aberrant Manta - Lvl 45 (Location -142757.614067, -112007.908512, 36945.008128)
[2024.09.06-00.20.27:892][676]Failed Spawned Dino: Aberrant Manta - Lvl 45 (Location 75.443363, -75792.776753, 36509.688790)
[2024.09.06-00.20.30:920][702]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -46020.764174, -120078.917190, 36645.365122)
